Post,Intensity
家庭作业家庭作业不在家里完成的叫什么家庭作业？？？？？这不是明面上给老师增加工作量吗？老师难道没有自己的家庭吗？？？？真是无语? ,1
每天感叹一次，国内教育制度越来越无可救药? ,1
现在上海的小学，私立的不说了，因为本来就有很多额外课。公立可以延迟到两个时间节点放学。第一节课是四点二十，第二节课到六点，这极大地方便了双职工而又没有老人帮忙的家庭。但是但是但是！！！只有周一到周四！！！这是什么思路？这是响应网友提出的四天半工作时间？周五下午开始周末放假？而且六点那一节课老师还暗暗的学生说最好不要选择。国家号召生二胎，这点配套福利都不跟上，怎么玩？2上海收起全文d ,1
突然感觉中国教育越来越畸形，小学开始考试评比，童年的“快乐”就是作业作业作业，恶性循环，长此以往，应该不缺乏巨婴。唉！? ,1
校内一共有多少时间，教学一共有多少时间，那孩子回家干嘛呢，吃喝玩乐，溜大街啊，也不知道脑子长啥了，? ,1
现在的学校，真TM恶心，老师们拿的有工资啊，双休寒暑假，还美其名曰：家校共育这本来没错，但，能不能不要让家长充当老师的角色？？？？作业，回家写可以，家长还要拍照、打卡、发视频交作业，还要批改作业，这都是老师的工作好吗？？这部分工作家长做了，老师在干啥？这部分工作的工资，学校给家长发了吗？？没有啊！！那就请老师们，完成你们份内的工作！！别说什么辛苦之类的，拿着那份工资与待遇，就要干好那份工作在其位不谋其职！！！！收起全文d ,1
这个建议真是满满的糟点儿！！！在校完成的还能叫家庭作业？？家庭作业不就是回家写的吗？？？没有家庭作业这些孩子们回家后更是促进校外辅导班的热闹！天天提这些没谱的建议，等面对竞争激烈的中高考的时候你行你上！? ,1
对于建议让学生在学校内完成家庭作业的建议，个人是完全反对的！比如说小学，如果这样的提议通过，那就一定会有很多隐患！从小学来说，这会无端增加老师的工作量，因为老师要监督学生完成作业。而每个人，都是有家庭的，谁不讨厌加班呢？？然后有人肯定要说了，可以在课上完成。可如果课上完成，占用了课程后，是不是会造成课程拖沓？？不能按照教学完成课程？？那么导致的结果无外乎两种。一种是加快教学节奏，那么这样就有可能导致学生跟不上教学进度。第二种，是占用主课之外的其他课程。可是其他课程，不需要学习吗？？考试，也需要考吧！然后，就是学生在学校完成作业以后，回家是不是就会撒欢了的玩？？？毕竟，作业已经做完了。而小学生，说自制力，完全就是笑话。说到这里，肯定有人反驳说家长自己可以给孩子安排作业！可是，家长完全知道教学进度吗？？知道怎么安排合理吗？？？还有，在学校读书上课做作业，孩子已经够累了。再给孩子加担子，孩纸受得了吗？？？所以，个人完全反对这样的提议！收起全文d ,1
我记得我上学的时候，下课时间把作业写完，然后回家看漫画看小说? ,1
西八儿本师范生拳头硬了看见这群脑瘫学生和家长就烦老师是圣人吧是圣人360行都可以抱怨工作就不准老师抱怨呗?,1
